"Because without a good economy he has nothing in his mind" "{'good': True, 'economy': True, 'mind': True}" 0.749975070758371 0.2500249292416294 positive
"We are going to Trump LANDSLIDE 2020 we will be playing baseball in a few weeks and our Economy will be on its way up to DOW30K Some states are open but it s Almost time to Reopen the rest of the USA for Business The USA will defeat this plague MAGA BestPresident" "{'trump': True, 'landslide': True, '2020': True, 'play': True, 'baseball': True, 'week': True, 'economy': True, 'dow': True, '30k': True, 'state': True, 'open': True, 'time': True, 'reopen': True, 'rest': True, 'usa': True, 'business': True, 'defeat': True, 'plague': True, 'maga': True, 'bestpresident': True}" 0.9413956379352573 0.05860436206474409 positive
"realDonaldTrump You want to get people back to work the economy recovering put some govt resources behind this" "{'realdonaldtrump': True, 'people': True, 'back': True, 'work': True, 'economy': True, 'recover': True, 'put': True, 'govt': True, 'resource': True}" 0.9798348268684465 0.02016517313155394 positive
"Correct Smart move and no that was not racist in my eyes Those who said it was are idiots including Democrats He took a decisive action but for what ever reason decided not to do anything when it arrived to the homeland You know why Cares more about the Economy not lives" "{'correct': True, 'smart': True, 'move': True, 'racist': True, 'eye': True, 'idiots': True, 'include': True, 'democrat': True, 'decisive': True, 'action': True, 'reason': True, 'decide': True, 'arrive': True, 'homeland': True, 'care': True, 'economy': True, 'live': True}" 0.9978519154450457 0.0021480845549523703 positive
"One can provide security for Arkansans and still keep our economy healthy Considering" "{'provide': True, 'security': True, 'arkansan': True, 'economy': True, 'healthy': True}" 0.8333148670238217 0.16668513297617768 positive
"I agree Have you been listing to Tucker Carlson and he is saying the same thing One size does not fit all China must be loving this They do not mind loosing a million Chinese to America s 50k if they can shut our economy down and damage America You could see this coming" "{'agree': True, 'list': True, 'tucker': True, 'carlson': True, 'thing': True, 'size': True, 'fit': True, 'china': True, 'love': True, 'mind': True, 'loose': True, 'million': True, 'chinese': True, 'america': True, '50k': True, 'shut': True, 'economy': True, 'damage': True}" 0.7205224419187468 0.2794775580812535 positive
"The economy with this idiot will never recover neither my mind Jesus what a Joke" "{'economy': True, 'idiot': True, 'recover': True, 'mind': True, 'jesus': True, 'joke': True}" 0.5171193463097602 0.48288065369023847 neutral
"He stopped the economy to save lives so STFU" "{'stop': True, 'economy': True, 'save': True, 'life': True, 'stfu': True}" 0.30170952246397287 0.6982904775360271 negative
"7 Shutting down the economy putting 10 MILLION Americans out of work in 2 weeks and TRILLIONS in Recovery Bills would be totally unnecessary if ALL Americans were prescribed hydroxycholorquine and zpak than this realDonaldTrump" "{'7': True, 'shut': True, 'economy': True, 'put': True, '10': True, 'million': True, 'american': True, 'work': True, '2': True, 'week': True, 'trillion': True, 'recovery': True, 'bill': True, 'totally': True, 'unnecessary': True, 'prescribe': True, 'hydroxycholorquine': True, 'zpak': True, 'realdonaldtrump': True}" 0.9454968379623628 0.054503162037636686 positive
"Because the UK made the wrong decisions a decade ago The USA chose to invest like it is doing now and like the UK government is going as well And the more money flows into the economy and into Merseyside the better" "{'uk': True, 'make': True, 'wrong': True, 'decision': True, 'decade': True, 'ago': True, 'usa': True, 'chose': True, 'invest': True, 'government': True, 'money': True, 'flow': True, 'economy': True, 'merseyside': True, 'good': True}" 0.5812918795626453 0.4187081204373549 neutral
"Charles please expand on this ALL of Canada suffers at this rate but it does point out a fallacy of relying on one product whose price you have no control over to feed your economy I am disappointed in all Alberta Premiers of the past who have not made a dent in this manifesto" "{'charles': True, 'expand': True, 'canada': True, 'suffers': True, 'rate': True, 'point': True, 'fallacy': True, 'rely': True, 'product': True, 'price': True, 'control': True, 'fee': True, 'economy': True, 'disappoint': True, 'alberta': True, 'premier': True, 'past': True, 'make': True, 'dent': True, 'manifesto': True}" 0.14078698445897597 0.8592130155410242 negative
