"They are all about making the economy look bad for our President Trump" "{'make': True, 'economy': True, 'bad': True, 'president': True, 'trump': True}"
"As much as everyone wants the economy to come back it will but at a very slow pace in 2020 until there is a vaccine or other reputable therapies that can reduce or eliminate coronavirus We went from the lowest level of unemploym" "{'economy': True, 'back': True, 'slow': True, 'pace': True, '2020': True, 'vaccine': True, 'reputable': True, 'therapy': True, 'reduce': True, 'eliminate': True, 'coronavirus': True, 'low': True, 'level': True, 'unemploym': True}"
"Yup Livin off of the retirement money I spent 40 years saving up The last time this happened it was 2009 during the Dubya Depression I d barely recouped Would people PLEASE stop voting in Republicans They keep destroying the planet s economy and everything else" "{'yup': True, 'livin': True, 'retirement': True, 'money': True, 'spend': True, '40': True, 'year': True, 'save': True, 'time': True, 'happen': True, '2009': True, 'dubya': True, 'depression': True, 'barely': True, 'recoup': True, 'people': True, 'stop': True, 'voting': True, 'republican': True, 'destroy': True, 'planet': True, 'economy': True}"
"Country band Lady Antebellum joins woke mob apologizes and changes name because slavery us economy" "{'country': True, 'band': True, 'lady': True, 'antebellum': True, 'join': True, 'woke': True, 'mob': True, 'apologizes': True, 'change': True, 'slavery': True, 'economy': True}"
"Quarantined in my Georgia home because your economy isn t as important as my life" "{'quarantine': True, 'georgia': True, 'home': True, 'economy': True, 'isn': True, 'important': True, 'life': True}"
"If US GDP is 20 trillion dollars and a human life is valued at 10 million then the economy contracting by 10 is like losing 200k people is a statement some people seem to believe makes sense" "{'gdp': True, '20': True, 'trillion': True, 'dollar': True, 'human': True, 'life': True, '10': True, 'million': True, 'economy': True, 'contracting': True, 'lose': True, '200k': True, 'people': True, 'statement': True, 'make': True, 'sense': True}"
"I can relate like evryone s going cause malls are opening again but it s because of the economy not because the corona s ending" "{'relate': True, 'evryone': True, 'mall': True, 'open': True, 'economy': True, 'corona': True, 'end': True}"
"Better strap yourselves in for a bumpy ride as the entire world economy is abt to nose dive off a cliff The US Fed can no longer push the can down the road the Stock M will implode Corps going bust still trading high Capitalism has reached it s end It only gets worse" "{'good': True, 'strap': True, 'bumpy': True, 'ride': True, 'entire': True, 'world': True, 'economy': True, 'abt': True, 'nose': True, 'dive': True, 'cliff': True, 'feed': True, 'long': True, 'push': True, 'road': True, 'stock': True, 'implode': True, 'corp': True, 'bust': True, 'trade': True, 'high': True, 'capitalism': True, 'reach': True, 'end': True, 'bad': True}"
"Its Looking Terrible For Trucking Industry As Well As Hope For Any Decent Recovery Globally In The Economy Class 8 Heavy Duty Truck Orders Crash 62 5 In May To Lowest Levels Since 2011" "{'terrible': True, 'truck': True, 'industry': True, 'hope': True, 'decent': True, 'recovery': True, 'globally': True, 'economy': True, 'class': True, '8': True, 'heavy': True, 'duty': True, 'order': True, 'crash': True, '62': True, '5': True, 'lowest': True, 'level': True, '2011': True}"
"if someone wants to make some new memes so i can retire this one that d be great for the meme economy" "{'make': True, 'meme': True, 'retire': True, 'great': True, 'economy': True}"
"The same old trick We need to defend against communism so send your technology and your infrastructure away so I can steal it and build my army and economy at the expense of yours LOL" "{'trick': True, 'defend': True, 'communism': True, 'send': True, 'technology': True, 'infrastructure': True, 'steal': True, 'build': True, 'army': True, 'economy': True, 'expense': True, 'lol': True}"
