"Side hustle might not be a bad idea in this economy" "{'side': True, 'hustle': True, 'bad': True, 'idea': True, 'economy': True}" 0.07141975371686331 0.9285802462831362 negative
"Nationalisation per se does not equal socialism Even if the entire major economy was nationalised that would still not be socialism Stalin kept the nationalised economy as it was still superior 2 capitalism but Russia was not socialist JC is a long way short of even that" "{'nationalisation': True, 'se': True, 'equal': True, 'socialism': True, 'entire': True, 'major': True, 'economy': True, 'nationalise': True, 'stalin': True, 'nationalised': True, 'superior': True, '2': True, 'capitalism': True, 'russia': True, 'socialist': True, 'jc': True, 'long': True, 'short': True}" 0.6409131755835503 0.35908682441645073 neutral
"In this year of pandemic protest and a decimated economy this is the first sign of hope that I have seen in 2020 No matter how Trump spins this the crowds that he touted were not there Maybe just maybe we are seeing the end of the Trump debacle" "{'year': True, 'pandemic': True, 'protest': True, 'decimated': True, 'economy': True, 'sign': True, 'hope': True, '2020': True, 'matter': True, 'trump': True, 'spin': True, 'crowd': True, 'tout': True, 'end': True, 'debacle': True}" 0.13173210904639002 0.8682678909536095 negative
"The government faces a once in a lifetime opportunity to rebuild and reshape Australia s economy for the better as the nation recovers from the COVID 19 lockdown" "{'government': True, 'face': True, 'lifetime': True, 'opportunity': True, 'rebuild': True, 'reshape': True, 'australia': True, 'economy': True, 'good': True, 'nation': True, 'recovers': True, 'covid': True, '19': True, 'lockdown': True}" 0.5812918795626453 0.4187081204373549 neutral
"Fascism is state control of the economy and nearly everything else It s irrelevant to this conversation" "{'fascism': True, 'state': True, 'control': True, 'economy': True, 'irrelevant': True, 'conversation': True}" 0.20451347942901202 0.7954865205709875 negative
"This is delusional In Chile Allende did lots to help the people before the US sanctioned them to failure then thousands were disappeared under Pinochet and the economy suffered Millions are starving in Venezuela now due to US sanctions that hurt the people and not the regime" "{'delusional': True, 'chile': True, 'allende': True, 'lot': True, 'people': True, 'sanction': True, 'failure': True, 'thousand': True, 'disappear': True, 'pinochet': True, 'economy': True, 'suffer': True, 'million': True, 'starve': True, 'venezuela': True, 'due': True, 'hurt': True, 'regime': True}" 0.008207619916249954 0.9917923800837495 negative
"It s good to see his support finally waning as voters realize how absurdly racist he is Tanked economy poor COVID response and a weak police reform order He s a tiny little racist man whose days are over" "{'good': True, 'support': True, 'finally': True, 'wan': True, 'voter': True, 'realize': True, 'absurdly': True, 'racist': True, 'tanked': True, 'economy': True, 'poor': True, 'covid': True, 'response': True, 'weak': True, 'police': True, 'reform': True, 'order': True, 'tiny': True, 'man': True, 'day': True}" 0.9939566148104845 0.0060433851895190325 positive
"its also b s though The more they can keep markets volatile the more money they ll make as the economy recovers That s my two cents Could be wrong of course" "{'market': True, 'volatile': True, 'money': True, 'll': True, 'make': True, 'economy': True, 'recover': True, 'cent': True, 'wrong': True}" 0.5171193463097602 0.48288065369023847 neutral
"covid19 Economy Welfare TheIPA s scomo SloganKeeper by mdavidcartoons auspol BLM Insiders" "{'covid': True, '19': True, 'economy': True, 'welfare': True, 'theipa': True, 'scomo': True, 'slogankeeper': True, 'mdavidcartoons': True, 'auspol': True, 'blm': True, 'insider': True}" 0.30170952246397287 0.6982904775360271 negative
"Austerity was the right course of action However due to the coalition moderating planned cuts and EU referendum causing an economic slow down it s been too slow to accomplish its goals of getting the deficit down and then debt to economy down to safe levels" "{'austerity': True, 'action': True, 'due': True, 'coalition': True, 'moderating': True, 'plan': True, 'cut': True, 'eu': True, 'referendum': True, 'economic': True, 'slow': True, 'accomplish': True, 'goal': True, 'deficit': True, 'debt': True, 'economy': True, 'safe': True, 'level': True}" 0.8415333825899041 0.1584666174100941 positive
"as a staunch anarcho communist allow me to say you should definitely be reading and thinking about marx and marxism and what his articulation of class and political economy and power meant and continue to mean" "{'staunch': True, 'anarcho': True, 'communist': True, 'read': True, 'marx': True, 'marxism': True, 'articulation': True, 'class': True, 'political': True, 'economy': True, 'power': True, 'meant': True, 'continue': True}" 0.6982344538873567 0.3017655461126443 positive
