"yes let s all save and not spend to boost the economy" "{'save': True, 'spend': True, 'boost': True, 'economy': True}" 0.749975070758371 0.2500249292416294 positive
"Can someone w some clout pls ask drdavidsamadi for his experience w Covid cure Budesonide aka Pulmicort inhaled steroid used w nebulizer Cheap safe old drug Stop the Plandemic realDonaldTrump We have an election to WIN and an economy to RESTORE" "{'clout': True, 'pls': True, 'drdavidsamadi': True, 'experience': True, 'covid': True, 'cure': True, 'budesonide': True, 'aka': True, 'pulmicort': True, 'inhale': True, 'steroid': True, 'nebulizer': True, 'cheap': True, 'safe': True, 'drug': True, 'stop': True, 'plandemic': True, 'realdonaldtrump': True, 'election': True, 'win': True, 'economy': True, 'restore': True}" 0.9994467525721947 0.0005532474278055558 positive
"This has been the reality for years The economy entered a recession before the nation was shut down by COVID 19 We need to take a transformative approach to 21st century working and employment The government proved poverty is a choic3 THEY make" "{'reality': True, 'year': True, 'economy': True, 'enter': True, 'recession': True, 'nation': True, 'shut': True, 'covid': True, '19': True, 'transformative': True, 'approach': True, '21st': True, 'century': True, 'work': True, 'employment': True, 'government': True, 'prove': True, 'poverty': True, 'choic': True, '3': True, 'make': True}" 0.9665692705926493 0.033430729407352165 positive
"control the economy let a muslim woman do it control the government let a muslim woman do it eat the rich let a muslim woman do it" "{'control': True, 'economy': True, 'muslim': True, 'woman': True, 'government': True, 'eat': True, 'rich': True}" 0.749975070758371 0.2500249292416294 positive
"New post Pump cash into renewable energy to boost economy local leaders urge ministers has been published on" "{'post': True, 'pump': True, 'cash': True, 'renewable': True, 'energy': True, 'boost': True, 'economy': True, 'local': True, 'leader': True, 'urge': True, 'minister': True, 'publish': True}" 0.749975070758371 0.2500249292416294 positive
"I hope Australia is not planning to adopt this Trumpian strategy It s code for we give up or the economy is more important" "{'hope': True, 'australia': True, 'plan': True, 'adopt': True, 'trumpian': True, 'strategy': True, 'code': True, 'give': True, 'economy': True, 'important': True}" 0.749975070758371 0.2500249292416294 positive
"What would happen with Scotland s prosperous industries worth billions post Yes vote should be covered by the media as it is the best insight in to how Indy Scotland would fund itself run its own economy stvnews BBCScotlandNews itvnews bbcscotnine bbcradioscot Daily_Record" "{'happen': True, 'scotland': True, 'prosperous': True, 'industry': True, 'worth': True, 'billion': True, 'post': True, 'vote': True, 'cover': True, 'medium': True, 'insight': True, 'indy': True, 'fund': True, 'run': True, 'economy': True, 'stvnews': True, 'bbcscotlandnews': True, 'itvnews': True, 'bbcscotnine': True, 'bbcradioscot': True, 'daily_record': True}" 0.9541798899621339 0.04582011003786514 positive
"Yeah Normal for any seasonal infection as it makes it s way through the population The difference is C 19 would be a thing of the past if ya didn t slow down the economy and force people out of work" "{'yeah': True, 'normal': True, 'seasonal': True, 'infection': True, 'make': True, 'population': True, 'difference': True, '19': True, 'thing': True, 'past': True, 'ya': True, 'didn': True, 'slow': True, 'economy': True, 'force': True, 'people': True, 'work': True}" 0.5171193463097602 0.48288065369023847 neutral
"The fact that you would boycott Goya food and cause the company to lay off many latinos from their jobs therefor putting even more economic strain on the economy is absolutely the most DUMB ASS thing I have heard" "{'fact': True, 'boycott': True, 'goya': True, 'food': True, 'company': True, 'lay': True, 'latino': True, 'job': True, 'therefor': True, 'put': True, 'economic': True, 'strain': True, 'economy': True, 'absolutely': True, 'dumb': True, 'ass': True, 'thing': True, 'hear': True}" 0.078334614723634 0.9216653852763678 negative
"Broken economy And Sleepy Joe would have done better LOLOL Until the pandemic President had built the best economy ever Lowest unemployment Highest salary increases record jobs oil independence border wall etc And he ll do it again Joe could never best that record" "{'broken': True, 'economy': True, 'sleepy': True, 'joe': True, 'good': True, 'lolol': True, 'pandemic': True, 'president': True, 'build': True, 'low': True, 'unemployment': True, 'high': True, 'salary': True, 'increase': True, 'record': True, 'job': True, 'oil': True, 'independence': True, 'border': True, 'wall': True, 'll': True}" 0.9413956379352573 0.05860436206474409 positive
"That woman has lost a lot of loved ones" "{'woman': True, 'lose': True, 'lot': True, 'love': True}" 0.7697020066168083 0.23029799338319226 positive
"Trump is so desperate because he was about to campaign with the economy on top of his talking points now he only got his beloved confederate heroes" "{'trump': True, 'desperate': True, 'campaign': True, 'economy': True, 'top': True, 'talk': True, 'point': True, 'beloved': True, 'confederate': True, 'hero': True}" 0.9996679780672033 0.00033202193279545036 positive
"House Dems Trying To Undo Trump Economy with Obama Era Reg That Cost Thousands of Jobs" "{'house': True, 'dems': True, 'undo': True, 'trump': True, 'economy': True, 'obama': True, 'era': True, 'reg': True, 'cost': True, 'thousand': True, 'job': True}" 0.749975070758371 0.2500249292416294 positive
"Bounty Boy s Education Witch is going to poison all the little kids to fire up the economy and the reelection campaign" "{'bounty': True, 'boy': True, 'education': True, 'witch': True, 'poison': True, 'kid': True, 'fire': True, 'economy': True, 'reelection': True, 'campaign': True}" 0.24997507241550607 0.7500249275844936 negative
"Calm fohim are you serious This stupid book has too many points for mis grammafication for me to not want to give the token economy a real boost" "{'calm': True, 'fohim': True, 'stupid': True, 'book': True, 'point': True, 'mis': True, 'grammafication': True, 'give': True, 'token': True, 'economy': True, 'real': True, 'boost': True}" 0.9740136071284793 0.02598639287151838 positive
"Democratic mayor Democratic governor doing their best to crash the Oregon economy and try and blame it on Trump I work for a company that s located in downtown Portland where all this writing is taking place it s a nightmare in Portland has become a cesspool" "{'democratic': True, 'mayor': True, 'governor': True, 'crash': True, 'oregon': True, 'economy': True, 'blame': True, 'trump': True, 'work': True, 'company': True, 'locate': True, 'downtown': True, 'portland': True, 'writing': True, 'place': True, 'nightmare': True, 'cesspool': True}" 0.9052873479922824 0.09471265200771514 positive
"Do NOT shut down the economy We need for health system schools and social programs Testing is UP and deaths are down as most new cases are age 18 40 Continue encouraging social distancing AND masks" "{'shut': True, 'economy': True, 'health': True, 'system': True, 'school': True, 'social': True, 'program': True, 'test': True, 'death': True, 'case': True, 'age': True, '18': True, '40': True, 'continue': True, 'encourage': True, 'distancing': True, 'mask': True}" 0.8437240883359851 0.15627591166401467 positive
"Bc taxes pay into systems that stimulate and protect the economy and consumers to an extent from collapsing and also make sure there are roads that there is a military to function and defend its interests" "{'bc': True, 'tax': True, 'pay': True, 'system': True, 'stimulate': True, 'protect': True, 'economy': True, 'consumer': True, 'extent': True, 'collapse': True, 'make': True, 'road': True, 'military': True, 'function': True, 'defend': True, 'interest': True}" 0.9970197187547548 0.0029802812452445157 positive
"Israelis protest over Netanyahu s handling of economy during Covid 19 outbreak" "{'israelis': True, 'protest': True, 'netanyahu': True, 'handling': True, 'economy': True, 'covid': True, '19': True, 'outbreak': True}" 0.07893307887868725 0.921066921121312 negative
"Economy is growing BRT project is finalized bs abhi us p thora kam rehta hai PIA is among top air lines Steel mill ko be privatize karna hai same things done by previous govts so what s new No any grow in the investment on education and health کپتان_کا_بڑھتا_ہوا_پاکستا" "{'economy': True, 'grow': True, 'brt': True, 'project': True, 'finalize': True, 'abhi': True, 'thora': True, 'kam': True, 'rehta': True, 'hai': True, 'pia': True, 'top': True, 'air': True, 'line': True, 'steel': True, 'mill': True, 'ko': True, 'privatize': True, 'karna': True, 'thing': True, 'previous': True, 'govts': True, 'investment': True, 'education': True, 'health': True, 'کپتان_کا_بڑھتا_ہوا_پاکستا': True}" 0.8333148670238217 0.16668513297617768 positive
"So truth same as India immigrants in Kenya that have half of the economy of Kenya When you are in Nairobi you wonder if You are in India or Africa Just saying" "{'truth': True, 'india': True, 'immigrant': True, 'kenya': True, 'half': True, 'economy': True, 'nairobi': True, 'africa': True}" 0.30170952246397287 0.6982904775360271 negative
